Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico Art. 26 Minerales No Metálicos	Material de construcción Art. 45	Ambiente geológico
Granodiorita 	El Prado	T3P	" Está constituido principalmente por granodioritas de grano medio con biotita ± muscovita, localmente se reporta topacio y xenolitos de origen ígneo; en la quebrada Chaupi se reportan granodioritas con hornblenda y dioritas. Este cuerpo intrusivo se presenta fuertemente erosionado y se encuentra intruida por numerosos diques posiblemente más jóvenes, los cuales no estarían relacionados con el Complejo Granitoide Moromoro (Aspden, et al., 1995)."				
Serpentinita 	El Toro	KT	"Está constituida por harzburgitas masivas, de grano medio que contienen olivino, ortopiroxeno, anfibolita, antigorita, clorita y magnetita; además de harzburgitas serpentinizadas de grano fino, esquistosas  (Aspden,et al., 1995)."				
Formación 	Guerras	K1G	Constituye una sucesión de rocas sedimentarias siliciclásticas, estratificadas, de grano medio a grueso. Incluye conglomerados y areniscas, además de estratos gruesos de aglomerados intercalados con capas de limolitas. Los conglomerados de color gris claro con parches rojizos, contienen clastos de arenisca cuarzosa, limolita gris oscura y granos de cuarzo, soportados en matriz arenosa. Las areniscas son de color blanco, grano medio a grueso, contienen granos de cuarzo y feldespatos, además de pequeños granos de plagioclasa, muscovita detrítica y arcilla. Los aglomerados de color gris verdoso están constituidos mayormente de líticos de origen volcánico de tonalidad verde-púrpura, soportados en matriz arenosa con fenocristales y microlitos de plagioclasa, y granos de cuarzo. Las limolitas son de color rojo púrpura, se presentan en capas decimétricas bien estratificadas (INIGEMMb, 2013)				Corresponde a una secuencia sedimentaria depositada en un ambiente continental relacionado al arco volcánico Celica (INIGEMMb, 2013).
Formación 	Gulacpamba	MGu	"Está conformado por sedimentos fluvio lacustres - lacustres estratificados que a la base incluyen areniscas calcáreas café grisáceas y hacia el techo intercalaciones de limolitas de color café – amarillento y verdoso, con capas de lutitas gris verdosas con abundantes restos vegetales; conglomerados y finalmente tobas púrpuras (INIGEMM, 2017a). "				
Formación 	Hollín	K1H	"Constituida por areniscas cuarzosas blancas porosa de grano medio a grueso, con estratificaciones cruzadas y ripples. A esta formación se la ha dividido en tres miembros informales.
Relleno de valle aluvial.- Incluye lutitas laminadas verdosas a rojizas, intercaladas con capas de areniscas arcósicas de grano grueso.
Hollín principal.- Incluye areniscas de grano medio a grueso.  
Hollín superior.- Se encuentra marcada por la aparición de capas de carbón, horizontes de paleosuelos magenta, lutitas con abundante materia orgánica que progradan a capas de areniscas de grano fino a medio (Vallejo et al., 2021)"	Arenisca, lutitas.	Arenas silíceas (areniscas cuarzosas)	Arenas de origen fluvial o marino.	Ambiente de estuario dominado por mareas (Vallejo et al., 2021).
Formación 	Huartiguro	MPLHt	Está constituida por una secuencia volcanosedimentaria que incluye areniscas volcánicas intercaladas localmente con aglomerados, brechas tobáceas, tobas de cristales, lavas andesítico-basálticas y esporádicas ignimbritas (INIGEMM r, 2017).				
Formación 	Iguincha	MIg	"Está conformado por brechas volcanoclásticas, areniscas y limolitas con guijarros de clastos metamórficos. Miembro El Salado, cuyo afloramiento tipo se ubica en la coordenada UTM WGS-84: 712 550 E; 9 629 250 N. Está conformada areniscas gruesas y arcillas laminadas y capas de lignito. Miembro Ñamarín, su afloramiento tipo se ubica en la coordina UTM WGS-84: 710 900 E; 9 623 700 N. Está conformado por flujos con capas volcánicas primarias. Miembro Dumapara, cuyo afloramiento tipo se ubica en la coordenada UTM WGS-84: 713 400 E; 9 627 100 N. Está conformado por conglomerados, areniscas y limolitas (Hungerbühler, et al., 1995; INIGEMM, 2017c)."				"La Formación Iguincha se interpreta como la base de la cuenca sedimentaria de Nabón (Hungerbühler, et al., 1995; INIGEMM, 2017c)."
Formación 	Iguinda	K2Ig	La unidad está representada por rocas sedimentarias calcáreas fino-granulares como lutitas, limolitas y areniscas finas de color negro bien estratificadas. Se han reportado microfósiles de foraminíferos bentónicos en rocas de esta unidad. Hacia el este, las capas de estos sedimentos se vuelven más frecuentes y potentes, llegando a formar una secuencia de varias decenas de metros cerca de la población de Iguinda (INIGEMM a, 2013).				Estas rocas representan pequeñas paleocuencas aisladas (INIGEMM a, 2013).
Formación 	Illaca	Ml	Está constituida por tobas de composición dacítica con tonalidades verdosas, cremas y púrpuras (INIGEMM d, 2017). 				Esta unidad se interpreta como evidencia de la actividad volcánica ocurrida en el Mioceno, mientras continúa la depositación en las cuencas intramontañosas (INIGEMM d, 2017).
Formación 	Infiernillo	PLIf	"Es una secuencia de flujos laharíticos, medianamente litificados y meteorizados con cantos y guijarros de composición andesítica con textura porfídica en una matriz arenosa, también se observa conglomerados de color café, con clastos andesíticos subredondeados a redondeados (INIGEMM a, 2017; INIGEMM d, 2017)."				"Corresponde a los últimos eventos volcánicos del Plioceno que cubren y rellenan las cuencas intramontañosas (INIGEMM a, 2017; INIGEMM d, 2017)."
Formación 	Isimanchi	D3I	Esta unidad está conformada por filitas negras y verdes, tobas y brechas volcánicas metamorfizadas de color blanquecino y mármol de tonalidades blanquecinas y azuladas, que se encuentran formando varias colinas con morfologías kársticas (Litherland et al., 1994).	Filitas, tobas, brechas volcánicas, mármol.	N/A	"Rocas metamórficas (Filita)
Materiales calcáreos (Mármol)"	Ambiente asociado a una cuenca de trasarco de un arco Carbonífero (Spikings et al., 2021).
Formación 	Jacapa	MJca	Consiste en areniscas de grano fino a grueso, limolitas masivas, algunos horizontes de conglomerados con clastos volcánicos intermedios y calizas. Las calizas son ricas en fauna ostrácoda, moluscos y dientes de peces (Hungerbühler, 1997).				Hungerbühler (1997), sugiere que con base a caracteristicas sedimentológicas y asociación de fauna, la Formación Jacapa se depositó en un ambiente fluvial con abundantes depósitos de desborde y lacustres.
Formación 	Jalincapac	MJc	Litológicamente se compone de varias capas de conglomerados heterolíticos, areniscas grises con estratificación cruzada, limolitas tobáceas y tobas de ceniza con clastos pumíticos (INIGEMM, 2017c).				
Formación 	Jubones	Mj	Consiste depósitos de ignimbritas y coignimbritas, compuestos por tobas de cristales de composición riolítica con fenocristales de plagioclasa, biotita y cuarzo, además de fiammes (Pratt et al., 1997).	Tobas de cristales	Feldespato (Toba de cristales riolítica).	Rocas ígneas (Toba de cristales).	Se originaron a partir de erupciones volcánicas explosivas que generaron flujos piroclásticos. Esta formación marca el fin de la intensa actividad volcánica del arco continental Saraguro eocénico – miocénico  (Pratt et al., 1997).
Gneis 	La Bocana	T3B	Consiste principalmente de granodioritas variablemente foliadas, de grano fino a medio, con cristales de biotita ± biotita ± muscovita ± granate ± turmalina y en menor cantidad, migmatitas y paragneises de alto grado, de grano medio a grueso. Las rocas ígneas y metamórficas de esta unidad están íntimamente relacionados, siendo en ocasiones difícil diferenciarlos (Aspden, et al., 1995).				Análisis geoquímicos de roca total indican una composición Tipo S para esta unidad (Aspden, et al., 1995).
Formación 	La Banda	MLbd	"Está conformada por calizas masiva que contienen moluscos y ostrácodos, capas cíclicas de calizas y lutitas calcáreas, capas estratiformes de chert, brechas con clastos de limolitas y areniscas calcáreas de grano fino amarillas. Al tope se reportan horizontes de tobas (Hungerbühler D., 1997; Hungerbühler et al., 2002; INIGEMM a, 2017). "				"Se interpreta que esta secuencia se depositó en un ambiente de lagoon con depósitos supramareales o intermareales con eventos cíclicos (Hungerbühler D., 1997; Hungerbühler et al., 2002). "
Formación 	La Cría	OM?Lcr	"La Formación La Cría está compuesta por rocas volcanosedimentarias conformadas por areniscas volcánicas silicificadas de color verde. También se presentan tobas líticas verdes, que poseen una matriz con fenocristales de plagioclasa y cuarzo en menor proporción. Los fragmentos líticos son tobas finas, verdes, subangulares y con soporte en la matriz. Ocasionalmente, se pueden encontrar dacitas porfídicas de color crema-verdoso. Además, se observa un flujo piroclástico masivo, de color crema, con soporte clástico y tobas moderadamente consolidadas. Contiene clastos subangulares de fragmentos líticos.
Existen tobas líticas, matriz-soportado, de color crema, con fragmentos líticos subangulares. Estos fragmentos presentan diámetros que varían entre 1 cm y 15 cm, y corresponden a tobas cristalinas de composición dacítica a riolítica afanítica, ignimbritas, pómez y pórfidos ácidos. La matriz es rica en cuarzo secundario retrabajado y subredondeado, plagioclasa, biotita y fragmentos líticos de composición ácida, así como lapilli y ceniza volcánica (IIGE, 2026)."	Areniscas, tobas líticas, dacitas, tobas, ignimbritas, pómez, ceniza.	"Arenas silíceas
Puzolana (tobas)
"	"Rocas ígneas (tobas líticas)
Dacitas
Cenizas volcánicas
Pómez"	Arco volcánico continental del Oligo-Mioceno (IIGE, 2026).
Formación 	La Fortuna	OMF	Comprende a tobas de flujo de cenizas, soldadas, de composición riolítica con cristales de cuarzo, petrográficamente similar a la Formación Jubones con mayor matriz fina y con cristales diseminados únicamente de plagioclasa, biotita y cuarzo (Pratt, et al.,1997). 				La similitud en edad y química entre esta formación con la Formación Jubones sugiere que la fuente para ambas podría ser la caldera de Jubones (Pratt, et al.,1997).
Granito 	La Florida	T3F	Está constituida por granodioritas de grano medio a grueso, con megacristalinas de feldespato alcalino, biotita y en ocasiones granate, con megacristales de feldespato alcalino son de color crema pálido, varían en tamaño y proporción, pero alcanzan hasta 8 cm de longitud. Comúnmente se encuentran alojando xenolitos de gneis y metasedimentos que incluyen cuarcitas, paragneis y migmatitas (Aspden et al., 1995). 				
Formación 	La Huaca	M?Lh	"Está conformado hacia la base por una secuencia monótona de conglomerados granodecrecientes, clasto-soportada, con bases erosivas y exhiben cantos redondeados de cuarcitas, gneises, cuarzos lechosos y andesitas basáltica; seguida de una secuencia de conglomerados matriz-soportada con guijarros y gránulos de cuarzo, filitas, cuarcitas, andesitas y granodioritas. 

Hacia la parte intermedia de la secuencia afloran conglomerados matriz-soportados, los cuales se intercalan con areniscas de grano grueso a medio de color azulado, con gránulos de cuarzo, moscovita y biotita. Además existen estratos centimétricos de limolitas de color café, con laminación paralela y cristales milimétricos retrabajados de biotita y moscovita.

Transicionalmente esta secuencia cambia a un sistema fluvio-lacustre con un importante aporte volcánico, exhibe capas de conglomerados granodecrecientes con matriz clasto-soportada con guijarros y cantos de rocas metamórficas y volcánicas (INIGEMM g, 2017)."	Conglomerados, limolitas.	"Cuarzos (clastos)
Limolitas
"	"Rocas ígneas (clastos de andesitas, andesitas basálticas)
Arcillas superficiales (por meteorización)
Gravas (conglomerados)
Depósitos aluviales"	Se asocia a un ambiente de depósitos aluviales (INIGEMM g, 2017).
Formación 	La Ramada	K2Ra	La litología constituye una secuencia de tobas aglomeráticas grises, intercaladas con areniscas de color gris claro y café, y grauvacas parduzcas. La secuencia se encuentra cubierta por una gran cantidad de vetillas de calcita y cuarzo dando un aspecto blanquecino en superficie (INIGEMM a, 2013).				
Formación 	La Victoria	D1-2?V	Está conformada por cuarcitas, filitas y esquistos sericíticos (Litherland, et al., 1994). 				La unidad La Victoria es el equivalente de mayor grado metamórfico de las rocas de la unidad El Tigre (Litherland, et al., 1994).
Formación 	Las Trancas	ET	Comprende tobas de lapilli líticas de composición andesítica y dacítica, brechas tobáceas, conglomerados con clastos metamórficos, lutitas rojas y areniscas. Fragmentos metamórficos incluyendo esquistos y gneises son comunes (Pratt, et al., 1997).				
Formación 	Letrero	MLt	"Está compuesta de sedimentos lacustres con un fuerte aporte clástico fluvial. Litológicamente está constituida por limolitas y areniscas de grano fino, con pocas capas de diatomita en la parte central de la cuenca (Hungerbühler, et al., 1995; INIGEMM, 2017c).  "				Se interpreta que esta formación indica un período de disminución de la actividad volcánica y tectónica (Hungerbühler, et al., 2002).
Gneis 	Limón Playa	T3L	Está constituida por gneises de composición cuarzo-feldespática con muscovita y biotita, migmatitas y granodioritas con xenolitos de protolito sedimentario (Aspden, et al., 1995).				Esta unidad es interpretada como un equivalente del Complejo Moromoro, incluido tectónicamente en el Melange-Palenque (Aspden, et al., 1995).
Formación 	Loma Bernabé	PcELbe	Comprende andesitas negras a grises púrpuras, porfiríticas a microporfiríticas y brechas volcánicas andesíticas gris verdosas (INIGEMM, 2017a). 				Esta nueva unidad litoestratigráfica es el resultado de la discriminación de las rocas volcánicas originadas en el arco volcánico continental del Paleoceno antes incluidas dentro de la unidad Sacapalca (INIGEMM, 2017a).
Formación 	Loma Blanca	EOLb	"Comprende ignimbritas, tobas de cristal pumíticas y brechas volcánicas, calco alcalinas de composición intermedia a ácida; localmente se observan material retrabajado depositado en un ambiente lacustre (Hungerbühler, 2002). "				
Formación 	Loma La Cruz	MLlc	"Litológicamente se compone de una sucesión gruesa limolitas blancas y localmente areniscas y conglomerados (Hungerbühler, et al., 1995; INIGEMM, 2017c)."				"Está constituida por material detrítico depositados en un ambiente fluvial (Hungerbühler, et al., 1995; INIGEMM, 2017c)."
Formación 	Loyola	ML	"Consiste en una secuencia de lutitas estratificadas color pardo y gris claro con abundantes óxidos de hierro y vetillas de yeso (Steinmann, 1997; INIGEMM, 2018)."				
Formación 	Macuma	C2M	Está conformada por calizas bioclásticas de tonalidades gris azulado y lutitas negras con una potencia de 200 m, cubiertas por aproximadamente 1250 m de calizas y lutitas que forman acantilados de color blanco a gris oscuro. En ambas secuencias son comunes gradaciones que van desde las calizas arenosas hasta las areniscas de color marón verdoso (Litherland et al., 1994).	Calizas, lutitas, areniscas.			
Formación 	Maguazo	J3K1M	"Está conformada por metaturbiditas silíceas de grano fino, pudiendo volverse más volcanoclásticas y metavolcanitas de composición andesito basáltica; en menor cantidad se registran filitas púrpuras y negras puntualmente ferruginosas o con pirita, filitas verdes, ortocuarcitas de grano fino y cherts (Litherland, et al., 1994). "				" Se interpretan que hubo un adelgazamiento de la corteza continental que permitió el ascenso de rocas básicas de composición toleítica (unidad Alao) (Spikings, et al., 2014; Spikings, et al., 2019). "
Formación 	Mangahurco	K2Mg	"Litológicamente, a la base se observan niveles cíclicos de limolitas y lutitas, intercaladas con areniscas finas grises con nódulos lutíticos redondeados no mayores a 20 cm. Se pueden encontrar slumps, pliegues menores y laminación convoluta y paralela que podrían ser asociadas a una tectónica activa o a pendientes que facilitaron su formación. La parte media y superior comprende una alternancia de grauvacas con concreciones calcáreas, areniscas líticas de grano medio a grueso, areniscas cuarzosas de grano medio a grueso y microconglomerados, intercalados con capas delgadas de limolitas y lutitas levemente calcáreas. Esporádicamente se aprecian estratos de caliza de hasta 10 cm de espesor (IIGE a, 2019; INIGEMM b, 2017; IIGE b, 2019)."				"El ambiente predominante fue turbidítico, y correspondería a facies de talud superior proximal (Reyes y Caldas, 1987 en IIGE a, 2019; INIGEMM b, 2017; IIGE b, 2019)."
Formación 	Mangán	MM	"Se trata de una secuencia intercalada de limonitas y lutitas grises claras, verdes y rojas, con areniscas de grano fino, conglomerados finos y capas de ceniza volcánica y lapilli, en menor proporción limolitas y vetas de carbón (Hungerbühler, et al., 2002; INIGEMM, 2018)."				
Granodiorita 	Marcabelí	T3M	"Está conformada mayoritariamente por granodioritas de grano medio con biotita ± muscovita y ocasionalmente con topacio, generalmente se presenta masiva; en ciertos sectores se presente fuertemente erosionado (Aspden, et al., 1995)."				
Formación 	Mera	PLPlM	Consiste en conglomerados de clastos centimétricos a plurimétricos (granito o gneis) con intercalaciones de niveles piroclásticos en la parte proximal del abanico (Baby et al., 1998).	Conglomerados, tobas.		Material pétreo.	Se asocia a un ambiente de abanicos aluviales y terrazas. Sus depósitos más recientes están asociados a los productos volcánicos del Sumaco y El Reventador (Baby et al., 1998).
Formación 	Mesa Loma	MMI	En su mayoría se compone por una secuencia de andesitas basálticas formando paredes subverticales y por una secuencia volcanosedimentaria constituida por tobas de líticos y tobas de cristales (INIGEMM r, 2017). 				
Formación 	Misahuallí	J2K1M	Consiste en basaltos, andesitas y traquitas no deformadas verdes a grises oscuras o púrpuras con tobas verdosas, brechas tobáceas violetas a rosadas, aglomerados, lutitas rojas, areniscas y conglomerados (Litherland et al., 1994).	Basaltos, andesitas, traquitas, tobas, brechas tobáceas, aglomerados, lutittas, areniscas, conglomerados	Caolines	"Rocas ígneas (andesitas, basaltos, traquitas) 
Arcillas superficiales (por meteorización)
Gravas (conglomerados, aglomerados)"	Está constituida de acumulaciones volcánicas masivas y gruesas, que forman parte del potente arco volcánico del Jurásico (Baby et al., 1998). 
Anfibolita 	Monte Olivo	T3Mo	"Está conformada principalmente por esquistos anfibolíticos con hornblenda-cuarzo-calcita-epidota-biotita y en menor porcentaje, gneises de grano fino a grueso con segregación de cuarzo-feldespato asociada en ciertas zonas con cuarcitas de grano fino, gris verdosas; en el río Ana Tenorio se reportan anfibolitas masivas de grano fino a medio con granate (Litherland et al., 1994)."	Esquistos anfibolíticos, anfibolitas, cuarcitas.	Cuarzos (cuarcita)	Rocas metamórficas (esquitstos anfibolíticos, anfibolitas, cuarcitas)	Las rocas anfibolíticas de afinidad toleítica son evidencia del evento del adelgazamiento cortical y posterior formación de una zona de rift a lo largo del oeste de Pangea acaecido en el triásico. Las rocas de la unidad Monte Olivo tienen su equivalente en el Bloque Amotape-Tahuín en el Grupo Ofiolítico Piedras que agrupa a las unidades Taqui, Arenillas y Quebrada Plata (Litherland et al., 1994) . 
Formación 	Napo	KN	Corresponde a una secuencia de lutitas y calizas negras con intercalaciones de areniscas. Se identifican 11 subdivisiones que incluyen cliclos que varían entre lutitas, calizas y areniscas. (Vallejo, 2021).	Lutitas, calizas, areniscas	"Calizas
Arenas silíceas
Fosfatos"	"Arenas de origen fluvial o marino 
Materiales calcáreos (calizas)"	Ambiente que varía de paltaforma marina somera, estuarios y deltas (Vallejo et al., 2021).
Formación 	Naranjo	K2Nj	Está constituido por la intercalación de conglomerados de grano fino de color gris, con fósiles, areniscas calcáreas de color dorado, limolitas con tonos café verdoso y lutitas de color café a crema bien estratificadas (INIGEMM a, 2013). 				
Formación 	Ocaña	EO	Consiste principalmente de tobas soldadas dacíticas a riolíticas gris oscuras a verdes, ricas en feldespato y cristales redondeados de cuarzo, brechas y sedimentos volcanocláticos retrabajados. Hacia la base de esta formación se registran tobas de lapilli, que contienen clastos de esquistos grafíticos (Dunkley y Gaibor, 1997).. 				La Formación Ocaña es considerada el equivalente distal de la unidad Filo Cajas (Dunkley y Gaibor, 1997).
Formación 	Pachicutza	T2-3Pch	"Litológicamente está conformada por basaltos masivos de color negro verdoso, afaníticos, localmente se presenta como lavas en forma de almohadillas, además de andesitas basálticas, brechas volcánicas tobas de lapilli skarnificadas, aglomerados finos y gruesos, tobas finas, además de ignimbritas y niveles de ceniza (INIGEMM d, 2013; INIGEMM i, 2017)."	Basaltos, andesitas basálticas, brechas, tobas de lapilli, aglomerados, tobas, ignimbritas, cenizas.	Arcillas	"Arcillas superficiales (por meteorización)
Rocas ígneas (basaltos, andesitas basálticas, tobas)
Gravas (brechas, aglomerados gruesos)"	"Análisis geoquímicos revelan una composición basáltica subalcalina con afinidad toleítica, por lo que se le relaciona al evento de rift continental que originó volcanismo submarino básico (INIGEMM d, 2013; INIGEMM i, 2017)."
Melange 	Palenque	J3K1Pq	Litológicamente describe a filitas esquistosas, pizarras, esquistos cuarzo feldespáticos, chert, metagrauvacas, todas en ocasiones brechadas y silicificadas (Aspden et al., 1995).				
Formación 	Pallatanga 	K2Pa	"Está compuesta por basaltos, ocasionalmente con estructuras en almohadillas, hialoclastitas, microgabros, tobas, areniscas volcánicas, peridotitas y websteritas (McCourt, et al. 1997; Vallejo, 2007). "				Se la interpreta como rocas de afinidad tipo MORB relacionadas con un piso oceánico que se considera como basamento de cordillera Occidental (McCourt, et al., 1997).
Complejo 	Peñas Blancas	|^Pb	Esta unidad incluye cuarcitas con foliación moderada, granitoides deformados y recristalizados, tobas de cristales alteradas, deformadas y recristalizadas (INIGEMM q, 2017).	Cuarcitas, granitos, tobas	Cuarzos (cuarcitas)	Rocas metamórficas (cuarcitas, granitos recristalizados, tobas recristalizadas)	Se interpreta como un complejo de rocas variablemente deformadas y recristalizadas de diferente origen que ocurren como techos colgantes sobre el Complejo Intrusivo Zamora (INIGEMM q, 2017).
Formación 	Picota	MPc	"Está conformada por dos miembros: Patadel conformado de material volcanoclástico, flujos de lodo y de escombros con presencia de bloques y cantos heterolíticos y; Rumiloma compuesto por capas laminadas de depósitos de caída (Hungerbühler, et al., 1995; INIGEMM, 2017c). "				
Formación 	Piuntza	T2J1Pz	Está conformada por calizas, lutitas calcáreas y areniscas, tobas de grano fino, flujos volcánicos y brechas clasto soportadas de composición andesíticas a dacíticas silicificadas (Litherland et al., 1994).	Calizas, lutitas, areniscas, tobas, andesitas, dacitas, brechas.	"Calizas
"	"Rocas ígneas (andesitas, dacitas)
Material calcáreo (lutitas calcáreas)
Arenas de origen fluvial o marino"	Corresponden a productos posteriores asociados al volcanismo del rift continental del Triásico (IIGE, 2026).
Gneis 	Plan del Oso	<?Po	"Conformados por ortogneises, paragneises, gneises migmatíticos, metagrauvacas, esquistos sercíticos y filitas. Los esquistos son de tonalidad gris a gris obscuro, con textura lepidoblastica, con minerales de cuarzo, moscovita y clorita. Se evidencia al menos dos fases de deformación y la presencia de cuarcitas compuestas de cuarzo+clorita+sericita. En algunos sectores estas rocas se encuentran atravesadas por diques métricos de microdioritas y pegmatitas asociadas a mineralización de sulfuros. (INIGEMM i, 2017; INIGEMM k, 2017; Litherland et al., 1994)."	Gneises, metagrauvacas, esquistos, filitas, cuarcitas.	"Cuarzos (cuarcitas)
Feldespatos (diques de pegmatitas)"	Rocas metamórficas (gneises, metagrauvacas, esquistos, filitas).	"Se presenta como colgajos sobre el Complejo Intrusivo Zamora interpretados como parte del cratón Amazónico (INIGEMM i, 2017; INIGEMM k, 2017; Litherland et al., 1994)."
Granodiorita 	Portachuelo	MP	Compuesta por granodioritas ricas en hornblenda y granitos de grano grueso y localmente se reportan cuarzodioritas y dioritas, estas rocas son de color gris a gris claro con texturas fanerítica. (INIGEMM g, 2017).	Granodioritas, granitos, cuarzodioritas, dioritas	Arcillas (por meteorización)	"Rocas ígneas (granodioritas, granitos, cuarzodioritas, dioritas)
Arcillas superficiales (por meteorización)
"	"Basados en  datos geoquímicos y litológicos se interpreta que fue emplazado en un ambiente de arco volcánico continental de tipo I durante el Mioceno. (Litherland et al., 1994; INIGEMM e, 2017)."
Formación 	Portovelo	OMPv	Litológicamente describe lavas basalto-andesíticas y andesíticas, tobas andesíticas muy meteorizadas y tobas dacíticas. En el río Salatí se observan lavas almohadilladas de composición basalto andesítica (Pratt et al., 1997).				Estudios geoquímicos realizadas a estar rocas indican una afinidad calcoalcalina. Esta unidad es interpretada como parte de un arco calcoalcalino desarrollado sobre el basamento metamórfico (Pratt et al., 1997).
Formación 	Progreso	MPg	"Constituida por areniscas calcáreas, arcillas verdosas y lutitas con concentraciones de conchas calcáreas y acumulaciones locales de bentonita, acillas bentoníticas, tobas, areniscas calcáreas, calizas, conglomerados finos y material carbonáceo (Bristow y Hoffstetter, 1977; Baldock, 1982)."				
Formación 	Pucapamba	MPu	"Está formada por secuencias volcanosedimentarias de caída, caracterizados por brechas de composición dacítica y clastos subangulares a subredondeados de granodioritas, andesitas afaníticas, gneises y esquistos; además se intercalan tobas dacíticas y tobas de lapilli con granos de cuarzo. También se encuentran intercaladas con conglomerados, areniscas grises, limolitas y lutitas (INIGEMM g, 2017)."	Brechas, tobas dacíticas, toba lapilli, conglomerados, areniscas, limolitas, lutitas.	N/A	"Gravas (conglomerados)
Arcillas superficiales (por meteorización)
Arenas de origen fluvial o marino"	Es asociado a sistemas de transporte fluvial en una cuenca intracontinental relacionado a un arco magmático.
Formación 	Puná	PLPlPu	Consiste de lutitas grises, amarillas y chocolates con numerosas capas de limo y arena. También están presentes calizas impuras, suaves, con restos de moluscos. Localmente se ven cuarcitas y cherts negro. Además, consta de conglomerados con guijarros redondeados y coquinas (Bristow y Hoffstetter, 1977).				
Formación 	Punín	J3K1P	Su litología comprende cuarcitas de color gris claro, rosado o rojo, de grano medio a grueso hasta variar a conglomerados con clastos de hasta 1 cm de ancho e intercaladas con pizarras de color negro, gris, púrpura o verde. Se reporta clastos con cuarzo azul, lo que sugiere una posible relación con la unidad Tres Lagunas (Litherland, et al., 1994). 				Se interpreta como una secuencia de margen pasivo (Litherland, et al., 1994). 
Formación 	Punta de Piedra	K1Pp	"Afloramientos representsativos se encuentra en la margen derecha del río Macará. Está comprendido por una secuencia de basaltos almohadillados, andesitas, andesitas basálticas y brechas volcánicas de afinidad toleítica y gabros en menor cantidad; los basaltos son masivos de color negro verdoso y textura afanítica, mientras que los gabros están dispuestos en cuerpos intrusivos pequeños de color negro (INIGEMM a, 2013; IIGE a, 2019)."				
Formación 	Puñay	OMPñ	Comprende lavas andesíticas con anfíbol, brechas, areniscas, limolitas, capas rojas, conglomerados andesíticos, tobas y areniscas volcánicas (Dunkley y Gaibor, 1997).				
Formación 	Puyango	K1Py	Está conformada por una secuencia de margas laminadas, bituminosas, de color gris a negro y limolitas que muestran delgadas capas interdigitadas de calciarenitas y grauvacas (INIGEMM b, 2017).				"Se interpreta como sedimentos depositados en ambiente de plataforma con aporte clástico que se interpreta como parte de turbiditas distales (Jaillard, et al., 1999; INIGEMM b, 2017)."
Formación 	Quebrada Calderón	O?Qc	Litológicamente contiene lavas andesíticas, brechas piroclásticas y autobrechas. Las lavas andesíticas son de color gris verdosa con fuerte magnetismo (INIGEMM g, 2017).	Andesitas, brechas piroclásticas.	N/A	"Rocas ígneas (andesitas, brechas piroclásticas)
Gravas"	Asociado a un arco volcánico continental durante el Oligoceno (INIGEMM g, 2017).
Formación 	Quebrada Los Zábalos	K1Qz	Está conformado por areniscas cuarzosas de color gris claro de grano fino, conglomerados matriz soportados, de grano fino a medio, grauvacas verdosas intercaladas con areniscas grises finas a medias silicificadas y niveles finos de lutitas fisiles, en esta formación se encuentran alojados troncos fósiles de gran tamaño e improntas de hojas. 				"Constituye la prolongación oriental de la secuencia relacionada con el Bosque Petrificado de Puyango (INIGEMM b, 2013; INIGEMM b, 2017)."
Anfibolita 	Quebrada Plata	T3Qp	Comprende metagabros de textura variable, masivo a gnésico, de grano fino a grueso, sausuritizado, transformados en anfibolitas de color verde oscuro, esquistos verdes y serpentinitas (Aspden, et al., 1995).				Geoquímicamente corresponde a un protolito de afinidad MORB asociado a una dorsal oceánica (Aspden, et al., 1995).
Formación 	Quebrada Seca	MQs	" Está conformada por areniscas gruesas y conglomerados finos semiconsolidados, con escasos niveles de limolitas grises a verdosas, se encuentran en capas horizontales decimétricas a métricas, son de color blanquecino a amarillento, están constituidas de cuarzo, plagioclasa, muscovita y abundantes líticos de cuarcita, esquistos sericíticos y filitas, soportados en una matriz limo - arcillosa (30%), la fuente de los sedimentos proviene del Complejo Metamórfico El Oro (INIGEMM b, 2017; INIGEMM o, 2017). "				"Esta formación representa una secuencia de depósitos de llanura aluvial.  (INIGEMM b, 2017; INIGEMM o, 2017)"
Gneis 	Quera Chico	T3Q	"Está conformada por una secuencia monótona de gneises, migmatitas y metagranodioritas; la paragénesis típica comprende cuarzo, plagioclasa, feldespato alcalino, biotita ± cordierita, silimanita, granate, apatito y turmalina (Aspden, et al., 1995).."				Esta unidad representa el equivalente a la unidad La Bocana del Complejo Moromoro (Aspden, et al., 1995).
Formación 	Quilanga	PLQl	Litológicamente está constituida por lavas basálticas subporfiríticas de color negro, estructura columnar (INIGEMM d, 2017).				Esta unidad pertenece a un evento de volcanismo fisural en la cuenca intramontañosa Gonzanamá (INIGEMM d, 2017).
Formación 	Quillollaco	MPLQ	"Litológicamente está constituida por conglomerados gruesos, clasto soportados en matriz arenosa, intercalados con lentes de areniscas y limolitas, además se reportan intercalaciones de brechas matriz soportadas con clastos metamórficos, los conglomerados muestran imbricación que indica una dirección de transporte de este a oeste, al igual que las brechas contienen clastos metamórficos (Hungerbühler et al., 2002; INIGEMM, 2017a)."				Se considera equivalente a la Formación Cerro Mandango de la cuenca de Malacatos (Bristow y Hoffstetter, 1977). 
