Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico	Ambiente geológico		
Formación 	Iguincha	MIg	"Está conformado por brechas volcanoclásticas, areniscas y limolitas con guijarros de clastos metamórficos. Miembro El Salado, cuyo afloramiento tipo se ubica en la coordenada UTM WGS-84: 712 550 E; 9 629 250 N. Está conformada areniscas gruesas y arcillas laminadas y capas de lignito. Miembro Ñamarín, su afloramiento tipo se ubica en la coordina UTM WGS-84: 710 900 E; 9 623 700 N. Está conformado por flujos con capas volcánicas primarias. Miembro Dumapara, cuyo afloramiento tipo se ubica en la coordenada UTM WGS-84: 713 400 E; 9 627 100 N. Está conformado por conglomerados, areniscas y limolitas (Hungerbühler, et al., 1995; INIGEMM, 2017c)."			"La Formación Iguincha se interpreta como la base de la cuenca sedimentaria de Nabón (Hungerbühler, et al., 1995; INIGEMM, 2017c)."		
Formación 	Iguinda	K2Ig	La unidad está representada por rocas sedimentarias calcáreas fino-granulares como lutitas, limolitas y areniscas finas de color negro bien estratificadas. Se han reportado microfósiles de foraminíferos bentónicos en rocas de esta unidad. Hacia el este, las capas de estos sedimentos se vuelven más frecuentes y potentes, llegando a formar una secuencia de varias decenas de metros cerca de la población de Iguinda (INIGEMM a, 2013).			Estas rocas representan pequeñas paleocuencas aisladas (INIGEMM a, 2013).		
Formación 	Illaca	Ml	Está constituida por tobas de composición dacítica con tonalidades verdosas, cremas y púrpuras (INIGEMM d, 2017). 			Esta unidad se interpreta como evidencia de la actividad volcánica ocurrida en el Mioceno, mientras continúa la depositación en las cuencas intramontañosas (INIGEMM d, 2017).		
Formación 	Infiernillo	PLIf	"Es una secuencia de flujos laharíticos, medianamente litificados y meteorizados con cantos y guijarros de composición andesítica con textura porfídica en una matriz arenosa, también se observa conglomerados de color café, con clastos andesíticos subredondeados a redondeados (INIGEMM a, 2017; INIGEMM d, 2017)."			"Corresponde a los últimos eventos volcánicos del Plioceno que cubren y rellenan las cuencas intramontañosas (INIGEMM a, 2017; INIGEMM d, 2017)."		
Formación 	Isimanchi	D3I	Esta unidad está conformada por filitas negras y verdes, tobas y brechas volcánicas metamorfizadas de color blanquecino y mármol de tonalidades blanquecinas y azuladas, que se encuentran formando varias colinas con morfologías kársticas (Litherland, et al., 1994).	Filitas, tobas, brechas volcánicas, mármol.	Materiales pétreos	Ambiente asociado a una cuenca de trasarco de un arco Carbonífero (Spikings et al., 2025).		
Formación 	Jacapa	MJca	Consiste en areniscas de grano fino a grueso, limolitas masivas, algunos horizontes de conglomerados con clastos volcánicos intermedios y calizas. Las calizas son ricas en fauna ostrácoda, moluscos y dientes de peces (Hungerbühler, 1997).			Hungerbühler (1997), sugiere que con base a caracteristicas sedimentológicas y asociación de fauna, la Formación Jacapa se depositó en un ambiente fluvial con abundantes depósitos de desborde y lacustres.		
Formación 	Jalincapac	MJc	Litológicamente se compone de varias capas de conglomerados heterolíticos, areniscas grises con estratificación cruzada, limolitas tobáceas y tobas de ceniza con clastos pumíticos (INIGEMM, 2017c).					
Formación 	Jubones	Mj	Consiste de tobas de cristales de composición riolítica con fenocristales de plagioclasa, biotita y cuarzo (Pratt, et al., 1997).					
Gneis 	La Bocana	T3B	Consiste principalmente de granodioritas variablemente foliadas, de grano fino a medio, con cristales de biotita ± biotita ± muscovita ± granate ± turmalina y en menor cantidad, migmatitas y paragneises de alto grado, de grano medio a grueso. Las rocas ígneas y metamórficas de esta unidad están íntimamente relacionados, siendo en ocasiones difícil diferenciarlos (Aspden, et al., 1995).			Análisis geoquímicos de roca total indican una composición Tipo S para esta unidad (Aspden, et al., 1995).		
Formación 	La Banda	MLbd	"Está conformada por calizas masiva que contienen moluscos y ostrácodos, capas cíclicas de calizas y lutitas calcáreas, capas estratiformes de chert, brechas con clastos de limolitas y areniscas calcáreas de grano fino amarillas. Al tope se reportan horizontes de tobas (Hungerbühler D., 1997; Hungerbühler et al., 2002; INIGEMM a, 2017). "			"Se interpreta que esta secuencia se depositó en un ambiente de lagoon con depósitos supramareales o intermareales con eventos cíclicos (Hungerbühler D., 1997; Hungerbühler et al., 2002). "		
Formación 	La Cría	OM?Lcr	"La Formación La Cría está compuesta por rocas volcanosedimentarias conformadas por areniscas volcánicas silicificadas de color verde. También se presentan tobas líticas verdes, que poseen una matriz con fenocristales de plagioclasa y cuarzo en menor proporción. Los fragmentos líticos son tobas finas, verdes, subangulares y con soporte en la matriz. Ocasionalmente, se pueden encontrar dacitas porfídicas de color crema-verdoso. Además, se observa un flujo piroclástico masivo, de color crema, con soporte clástico y tobas moderadamente consolidadas. Contiene clastos subangulares de fragmentos líticos.
Existen tobas líticas, matriz-soportado, de color crema, con fragmentos líticos subangulares. Estos fragmentos presentan diámetros que varían entre 1 cm y 15 cm, y corresponden a tobas cristalinas de composición dacítica a riolítica afanítica, ignimbritas, pómez y pórfidos ácidos. La matriz es rica en cuarzo secundario retrabajado y subredondeado, plagioclasa, biotita y fragmentos líticos de composición ácida, así como lapilli y ceniza volcánica (IIGE, 2026)."			Arco volcánico continental del Oligo-Mioceno (IIGE, 2026).		
Formación 	La Fortuna	OMF	Comprende a tobas de flujo de cenizas, soldadas, de composición riolítica con cristales de cuarzo, petrográficamente similar a la Formación Jubones con mayor matriz fina y con cristales diseminados únicamente de plagioclasa, biotita y cuarzo (Pratt, et al.,1997). 			La similitud en edad y química entre esta formación con la Formación Jubones sugiere que la fuente para ambas podría ser la caldera de Jubones (Pratt, et al.,1997).		
Granito 	La Florida	T3F	Está constituida por granodioritas de grano medio a grueso, con megacristalinas de feldespato alcalino, biotita y en ocasiones granate, con megacristales de feldespato alcalino son de color crema pálido, varían en tamaño y proporción, pero alcanzan hasta 8 cm de longitud. Comúnmente se encuentran alojando xenolitos de gneis y metasedimentos que incluyen cuarcitas, paragneis y migmatitas (Aspden et al., 1995). 					
Formación 	La Huaca	M?Lh	Está conformado hacia la base por una secuencia monótona de conglomerados grano decrecientes, clasto soportada, con bases erosivas y exhiben cantos redondeados de cuarcitas, gneises, cuarzo lechoso y andesitas basálticas, seguida de una secuencia de conglomerados matriz soportada con guijarros y gránulos de cuarzo, filitas, cuarcitas, andesitas y granodioritas hacia la parte intermedia de la secuencia afloran conglomerados matriz soportados, transicionalmente esta secuencia cambia a un sistema fluvio-lacustre con un importante aporte volcánico, exhibe capas de conglomerados grano decrecientes con matriz clasto soportada con guijarros y cantos de rocas metamórficas y volcánicas (INIGEMM g, 2017).					
Formación 	La Ramada	K2Ra	La litología constituye una secuencia de tobas aglomeráticas grises, intercaladas con areniscas de color gris claro y café, y grauvacas parduzcas. La secuencia se encuentra cubierta por una gran cantidad de vetillas de calcita y cuarzo dando un aspecto blanquecino en superficie (INIGEMM a, 2013).					
Formación 	La Victoria	D1-2?V	Está conformada por cuarcitas, filitas y esquistos sericíticos (Litherland, et al., 1994). 			La unidad La Victoria es el equivalente de mayor grado metamórfico de las rocas de la unidad El Tigre (Litherland, et al., 1994).		
Formación 	Las Trancas	ET	Comprende tobas de lapilli líticas de composición andesítica y dacítica, brechas tobáceas, conglomerados con clastos metamórficos, lutitas rojas y areniscas. Fragmentos metamórficos incluyendo esquistos y gneises son comunes (Pratt, et al., 1997).					
Formación 	Letrero	MLt	"Está compuesta de sedimentos lacustres con un fuerte aporte clástico fluvial. Litológicamente está constituida por limolitas y areniscas de grano fino, con pocas capas de diatomita en la parte central de la cuenca (Hungerbühler, et al., 1995; INIGEMM, 2017c).  "			Se interpreta que esta formación indica un período de disminución de la actividad volcánica y tectónica (Hungerbühler, et al., 2002).		
Gneis 	Limón Playa	T3L	Está constituida por gneises de composición cuarzo-feldespática con muscovita y biotita, migmatitas y granodioritas con xenolitos de protolito sedimentario (Aspden, et al., 1995).			Esta unidad es interpretada como un equivalente del Complejo Moromoro, incluido tectónicamente en el Melange-Palenque (Aspden, et al., 1995).		
Formación 	Loma Bernabé	PcELbe	Comprende andesitas negras a grises púrpuras, porfiríticas a microporfiríticas y brechas volcánicas andesíticas gris verdosas (INIGEMM, 2017a). 			Esta nueva unidad litoestratigráfica es el resultado de la discriminación de las rocas volcánicas originadas en el arco volcánico continental del Paleoceno antes incluidas dentro de la unidad Sacapalca (INIGEMM, 2017a).		
Formación 	Loma Blanca	EOLb	"Comprende ignimbritas, tobas de cristal pumíticas y brechas volcánicas, calco alcalinas de composición intermedia a ácida; localmente se observan material retrabajado depositado en un ambiente lacustre (Hungerbühler, 2002). "					
Formación 	Loma La Cruz	MLlc	"Litológicamente se compone de una sucesión gruesa limolitas blancas y localmente areniscas y conglomerados (Hungerbühler, et al., 1995; INIGEMM, 2017c)."			"Está constituida por material detrítico depositados en un ambiente fluvial (Hungerbühler, et al., 1995; INIGEMM, 2017c)."		
Formación 	Loyola	ML	"Consiste en una secuencia de lutitas estratificadas color pardo y gris claro con abundantes óxidos de hierro y vetillas de yeso (Steinmann, 1997; INIGEMM, 2018)."					
Formación 	Macuma	C2M	Está conformada por calizas bioclásticas de tonalidades gris azulado y lutitas negras con una potencia de 200 m, cubiertas por aproximadamente 1250 m de calizas y lutitas que forman acantilados de color blanco a gris oscuro. En ambas secuencias son comunes gradaciones que van desde las calizas arenosas hasta las areniscas de color marón verdoso (Litherland et al., 1994).	Calizas, lutitas, areniscas.				
Formación 	Maguazo	J3K1M	"Está conformada por metaturbiditas silíceas de grano fino, pudiendo volverse más volcanoclásticas y metavolcanitas de composición andesito basáltica; en menor cantidad se registran filitas púrpuras y negras puntualmente ferruginosas o con pirita, filitas verdes, ortocuarcitas de grano fino y cherts (Litherland, et al., 1994). "			" Se interpretan que hubo un adelgazamiento de la corteza continental que permitió el ascenso de rocas básicas de composición toleítica (unidad Alao) (Spikings, et al., 2014; Spikings, et al., 2019). "		
Formación 	Mangahurco	K2Mg	"Litológicamente, a la base se observan niveles cíclicos de limolitas y lutitas, intercaladas con areniscas finas grises con nódulos lutíticos redondeados no mayores a 20 cm. Se pueden encontrar slumps, pliegues menores y laminación convoluta y paralela que podrían ser asociadas a una tectónica activa o a pendientes que facilitaron su formación. La parte media y superior comprende una alternancia de grauvacas con concreciones calcáreas, areniscas líticas de grano medio a grueso, areniscas cuarzosas de grano medio a grueso y microconglomerados, intercalados con capas delgadas de limolitas y lutitas levemente calcáreas. Esporádicamente se aprecian estratos de caliza de hasta 10 cm de espesor (IIGE a, 2019; INIGEMM b, 2017; IIGE b, 2019)."			"El ambiente predominante fue turbidítico, y correspondería a facies de talud superior proximal (Reyes y Caldas, 1987 en IIGE a, 2019; INIGEMM b, 2017; IIGE b, 2019)."		
Formación 	Mangán	MM	"Se trata de una secuencia intercalada de limonitas y lutitas grises claras, verdes y rojas, con areniscas de grano fino, conglomerados finos y capas de ceniza volcánica y lapilli, en menor proporción limolitas y vetas de carbón (Hungerbühler, et al., 2002; INIGEMM, 2018)."					
Granodiorita 	Marcabelí	T3M	"Está conformada mayoritariamente por granodioritas de grano medio con biotita ± muscovita y ocasionalmente con topacio, generalmente se presenta masiva; en ciertos sectores se presente fuertemente erosionado (Aspden, et al., 1995)."					
Formación 	Mera	PLPlM	Consiste en conglomerados de clastos centimétricos a plurimétricos (granito o gneis) con intercalaciones de niveles piroclásticos en la parte proximal del abanico (Baby et al., 1998).	Conglomerados, tobas.	Material pétreo.	Se asocia a un ambiente de abanicos aluviales y terrazas. Sus depósitos más recientes están asociados a los productos volcánicos del Sumaco y El Reventador (Baby et al., 1998).		
Formación 	Mesa Loma	MMI	En su mayoría se compone por una secuencia de andesitas basálticas formando paredes subverticales y por una secuencia volcanosedimentaria constituida por tobas de líticos y tobas de cristales (INIGEMM r, 2017). 					
Formación 	Misahuallí	J2K1M	Consiste en coladas en coladas de lavas de lavas basálticas a dacíticas y de depósitos piroclásticos: ignimbritas dacíticas a riolíticas y tobas. Comprende también brechas volcánicas y areniscas volcanoclásticas (Bristow y Hoffstetter, 1977). 			Está constituida de acumulaciones volcánicas masivas y gruesas, que forman parte del potente arco volcánico del Jurásico (Baby, et al., 1998). 		
Anfibolita 	Monte Olivo	T3Mo	"Está conformada principalmente por esquistos anfibolíticos con hornblenda-cuarzo-calcita-epidota-biotita y en menor porcentaje, gneises de grano fino a grueso con segregación de cuarzo-feldespato asociada en ciertas zonas con cuarcitas ge grano fino gris verdosas; en el Río Ana Tenorio se reportan anfibolitas masivas de grano fino a medio con granate (Litherland, et al., 1994)."			Las rocas anfibolíticas de afinidad toleítica son evidencia del evento del adelgazamiento cortical y posterior formación de una zona de rift a lo largo del oeste de Pangea acaecido en el triásico. Las rocas de la unidad Monte Olivo tienen su equivalente en el Bloque Amotape – Tahuín en el Grupo Ofiolítico Piedras que agrupa a las unidades Taqui, Arenillas y Quebrada Plata (Litherland, et al., 1994) . 		
Formación 	Napo	KN	Corresponde a una secuencia de lutitas y calizas negras con intercalaciones de areniscas. Se identifican 11 subdivisiones que incluyen cliclos que varían entre lutitas, calizas y areniscas. (Vallejo., 2021).	Lutitas, calizas, areniscas	Material pétreo, interés hidrocarburífero	Ambiente que varía de paltaforma marina somera, estuarios y deltas (Vallejo et al., 2021)		
Formación 	Naranjo	K2Nj	Está constituido por la intercalación de conglomerados de grano fino de color gris, con fósiles, areniscas calcáreas de color dorado, limolitas con tonos café verdoso y lutitas de color café a crema bien estratificadas (INIGEMM a, 2013). 					
Formación 	Ocaña	EO	Consiste principalmente de tobas soldadas dacíticas a riolíticas gris oscuras a verdes, ricas en feldespato y cristales redondeados de cuarzo, brechas y sedimentos volcanocláticos retrabajados. Hacia la base de esta formación se registran tobas de lapilli, que contienen clastos de esquistos grafíticos (Dunkley y Gaibor, 1997).. 			La Formación Ocaña es considerada el equivalente distal de la unidad Filo Cajas (Dunkley y Gaibor, 1997).		
Formación 	Pachicutza	T2-3Pch	"Litológicamente está conformada por basaltos masivos de color negro verdoso, afaníticos, localmente se presenta como lavas en forma de almohadillas, además de andesitas basálticas, brechas volcánicas tobas compactas y conglomerados con clastos andesíticos (INIGEMM d, 2013; INIGEMM i, 2017)."			"Análisis geoquímicos revelan una composición basáltica subalcalina con afinidad toleítica, por lo que se le relaciona al evento de rift continental que originó volcanismo submarino básico (INIGEMM d, 2013; INIGEMM i, 2017)."		
Melange 	Palenque	J3K1Pq	Litológicamente describe a filitas esquistosas, pizarras, esquistos cuarzo feldespáticos, chert, metagrauvacas, todas en ocasiones brechadas y silicificadas (Aspden et al., 1995).					
Formación 	Pallatanga 	K2Pa	"Está compuesta por basaltos, ocasionalmente con estructuras en almohadillas, hialoclastitas, microgabros, tobas, areniscas volcánicas, peridotitas y websteritas (McCourt, et al. 1997; Vallejo, 2007). "			Se la interpreta como rocas de afinidad tipo MORB relacionadas con un piso oceánico que se considera como basamento de cordillera Occidental (McCourt, et al., 1997).		
Complejo 	Peñas Blancas	|^Pb	Esta unidad incluye cuarcitas con foliación moderada, granitoides deformados y recristalizados, tobas de cristales alteradas, deformadas y recristalizadas (INIGEMM q, 2017).			Se interpreta como un complejo de rocas variablemente deformadas y recristalizadas de diferente origen que ocurren como techos colgantes sobre el Complejo Intrusivo Zamora (INIGEMM q, 2017).		
Formación 	Picota	MPc	"Está conformada por dos miembros: Patadel conformado de material volcanoclástico, flujos de lodo y de escombros con presencia de bloques y cantos heterolíticos y; Rumiloma compuesto por capas laminadas de depósitos de caída (Hungerbühler, et al., 1995; INIGEMM, 2017c). "					
Formación 	Piuntza	T2J1Pz	Está conformada por calizas, lutitas calcáreas y areniscas, tobas de grano fino, flujos volcánicos y brechas clasto soportadas de composición andesíticas a dacíticas silicificadas (Litherland, et al., 1994. 					
Gneis 	Plan del Oso	<?Po	"están conformados por ortogneises, paragneises, gneises migmatíticos, esquistos y cuarcitas; que se encuentran intruidos por diques de microdiorita y pegmatitas (INIGEMM i, 2017; Litherland, et al., 1994)."			"Se presenta como colgajos sobre el Complejo Intrusivo Zamora interpretados como parte del cratón Amazónico (INIGEMM i, 2017; INIGEMM k, 2017; Litherland, et al., 1994)"		
Granodiorita 	Portachuelo	MP	Comprende granodioritas de grano medio a grueso, generalmente se presenta masivo (INIGEMM g, 2017).					
Formación 	Portovelo	OMPv	Litológicamente describe lavas basalto-andesíticas y andesíticas, tobas andesíticas muy meteorizadas y tobas dacíticas. En el río Salatí se observan lavas almohadilladas de composición basalto andesítica (Pratt et al., 1997).			Estudios geoquímicos realizadas a estar rocas indican una afinidad calcoalcalina. Esta unidad es interpretada como parte de un arco calcoalcalino desarrollado sobre el basamento metamórfico (Pratt et al., 1997).		
Formación 	Progreso	MPg	"Constituida por areniscas calcáreas, arcillas verdosas y lutitas con concentraciones de conchas calcáreas y acumulaciones locales de bentonita, acillas bentoníticas, tobas, areniscas calcáreas, calizas, conglomerados finos y material carbonáceo (Bristow y Hoffstetter, 1977; Baldock, 1982)."					
Formación 	Pucapamba	MPu	"Está formada por secuencias volcanosedimentarias de caída, caracterizados por brechas de composición dacítica y clastos subangulares a subredondeados de granodioritas, andesitas afaníticas, gneises y esquistos; además se intercalan tobas dacíticas y tobas de lapilli con granos de cuarzo. También se encuentran intercaladas con conglomerados, areniscas grises, limolitas y lutitas (INIGEMM g, 2017)."					
Formación 	Puná	PLPlPu	Consiste de lutitas grises, amarillas y chocolates con numerosas capas de limo y arena. También están presentes calizas impuras, suaves, con restos de moluscos. Localmente se ven cuarcitas y cherts negro. Además, consta de conglomerados con guijarros redondeados y coquinas (Bristow y Hoffstetter, 1977).					
Formación 	Punín	J3K1P	Su litología comprende cuarcitas de color gris claro, rosado o rojo, de grano medio a grueso hasta variar a conglomerados con clastos de hasta 1 cm de ancho e intercaladas con pizarras de color negro, gris, púrpura o verde. Se reporta clastos con cuarzo azul, lo que sugiere una posible relación con la unidad Tres Lagunas (Litherland, et al., 1994). 			Se interpreta como una secuencia de margen pasivo (Litherland, et al., 1994). 		
Formación 	Punta de Piedra	K1Pp	"Afloramientos representsativos se encuentra en la margen derecha del río Macará. Está comprendido por una secuencia de basaltos almohadillados, andesitas, andesitas basálticas y brechas volcánicas de afinidad toleítica y gabros en menor cantidad; los basaltos son masivos de color negro verdoso y textura afanítica, mientras que los gabros están dispuestos en cuerpos intrusivos pequeños de color negro (INIGEMM a, 2013; IIGE a, 2019)."					
Formación 	Puñay	OMPñ	Comprende lavas andesíticas con anfíbol, brechas, areniscas, limolitas, capas rojas, conglomerados andesíticos, tobas y areniscas volcánicas (Dunkley y Gaibor, 1997).					
Formación 	Puyango	K1Py	Está conformada por una secuencia de margas laminadas, bituminosas, de color gris a negro y limolitas que muestran delgadas capas interdigitadas de calciarenitas y grauvacas (INIGEMM b, 2017).			"Se interpreta como sedimentos depositados en ambiente de plataforma con aporte clástico que se interpreta como parte de turbiditas distales (Jaillard, et al., 1999; INIGEMM b, 2017)."		
Formación 	Quebrada Calderón	O?Qc	Litológicamente contiene lavas andesíticas, brechas piroclásticas y autobrechas. Las lavas andesíticas son de color gris verdosa con fuerte magnetismo (INIGEMM g, 2017).					
Formación 	Quebrada Los Zábalos	K1Qz	Está conformado por areniscas cuarzosas de color gris claro de grano fino, conglomerados matriz soportados, de grano fino a medio, grauvacas verdosas intercaladas con areniscas grises finas a medias silicificadas y niveles finos de lutitas fisiles, en esta formación se encuentran alojados troncos fósiles de gran tamaño e improntas de hojas. 			"Constituye la prolongación oriental de la secuencia relacionada con el Bosque Petrificado de Puyango (INIGEMM b, 2013; INIGEMM b, 2017)."		
Anfibolita 	Quebrada Plata	T3Qp	Comprende metagabros de textura variable, masivo a gnésico, de grano fino a grueso, sausuritizado, transformados en anfibolitas de color verde oscuro, esquistos verdes y serpentinitas (Aspden, et al., 1995).			Geoquímicamente corresponde a un protolito de afinidad MORB asociado a una dorsal oceánica (Aspden, et al., 1995).		
Formación 	Quebrada Seca	MQs	" Está conformada por areniscas gruesas y conglomerados finos semiconsolidados, con escasos niveles de limolitas grises a verdosas, se encuentran en capas horizontales decimétricas a métricas, son de color blanquecino a amarillento, están constituidas de cuarzo, plagioclasa, muscovita y abundantes líticos de cuarcita, esquistos sericíticos y filitas, soportados en una matriz limo - arcillosa (30%), la fuente de los sedimentos proviene del Complejo Metamórfico El Oro (INIGEMM b, 2017; INIGEMM o, 2017). "			"Esta formación representa una secuencia de depósitos de llanura aluvial.  (INIGEMM b, 2017; INIGEMM o, 2017)"		
Gneis 	Quera Chico	T3Q	"Está conformada por una secuencia monótona de gneises, migmatitas y metagranodioritas; la paragénesis típica comprende cuarzo, plagioclasa, feldespato alcalino, biotita ± cordierita, silimanita, granate, apatito y turmalina (Aspden, et al., 1995).."			Esta unidad representa el equivalente a la unidad La Bocana del Complejo Moromoro (Aspden, et al., 1995).		
Formación 	Quilanga	PLQl	Litológicamente está constituida por lavas basálticas subporfiríticas de color negro, estructura columnar (INIGEMM d, 2017).			Esta unidad pertenece a un evento de volcanismo fisural en la cuenca intramontañosa Gonzanamá (INIGEMM d, 2017).		
Formación 	Quillollaco	MPLQ	"Litológicamente está constituida por conglomerados gruesos, clasto soportados en matriz arenosa, intercalados con lentes de areniscas y limolitas, además se reportan intercalaciones de brechas matriz soportadas con clastos metamórficos, los conglomerados muestran imbricación que indica una dirección de transporte de este a oeste, al igual que las brechas contienen clastos metamórficos (Hungerbühler et al., 2002; INIGEMM, 2017a)."			Se considera equivalente a la Formación Cerro Mandango de la cuenca de Malacatos (Bristow y Hoffstetter, 1977). 		
Formación 	Quinara	MQu	"Litológicamente está compuesta por tobas ácidas, tobas con vidrio volcánico, ignimbritas y brechas explosivas de origen hidrotermal de colores grises y blancos, con clastos de composición metamórfica; contiene cristales de cuarzo, biotita y epidota (Hungerbühler, 1997; Hungerbühler et al., 2002)."					
Formación 	Quingeo	PcEQ	 Está conformada por una sucesión de capas finas cíclicas pobremente clasificadas, conglomerados hacia la base y areniscas y limolitas rojas y púrpuras hacia el tope (Hungerbühler et al., 2002). 					
Formación 	Río Guayucu	PcERg	"Está constituida por depósitos de caída, lahares y localmente areniscas volcánicas (INIGEMM, 2017d; INIGEMM, 2017e; IIGE c, 2019).  "			"Es una secuencia volcano-sedimentaria estratificada relacionada al arco volcánico continental del Paleoceno (INIGEMM, 2017d; INIGEMM, 2017e; IIGE c, 2019)."		
Formación 	Río Oña	ORo	"Litológicamente está conformada por tobas líticas brechosas, con líticos de riolitas retrabajadas, tobas dacíticas, ignimbritas riolitas y dacíticas que forman paredes subverticales, con fiammes pumíticos blanquecinos (INIGEMM, 2017c; IIGE, 2019e). "					
Esquisto 	Río Panupali	K1P	Está constituida por esquistos verdes prógrados masivos y foliados, verdes pálidos a oscuros con actinolita ± albita ± cuarzo ±clorita ± epidota ±granate ± glauconita ±esfena ±calcita ± sulfuros. La presencia de granate y glaucófano evidencia su facies de alta presión (Aspden, et al., 1995).			Se interpreta como la envoltura exterior del Complejo Ofiolítico Raspas (Aspden, et al., 1995).		
Formación 	Río Playas	EP	"Está conformada por conglomerados pobremente sorteados con clastos de lutitas negras, andesitas y cuarcitas, areniscas de grano grueso de color amarillo pobremente clasificado, y limolitas también amarillentas (Hungerbühler, et al., 2002; INIGEMM a, 2013)."			"Los clastos de los conglomerados provienen de las unidades Casanga, Naranjo y Catacocha, lo que indica que esta unidad se depositó en una zona dominada por sistemas fluviales, cuya fuente fueron las litologías adyacentes (Hungerbühler, et al., 2002; INIGEMM a, 2013). "		
Formación 	Rosa de Oro	MRo	 Litológicamente describe a lavas andesíticas a andesito-basálticas, localmente se observan tobas dacíticas gris oscuras (INIGEMM n, 2017).			Análisis geoquímicos en roca total indican que las lavas tienen afinidad calcoalcalina derivados de un magmatismo de subducción (INIGEMM n, 2017).		
Formación 	Rumipamba	MRu	Se compone mayoritariamente de tobas de ceniza intercaladas localmente con tobas de líticos y pseudoestratos de aglomerados de matriz fina con clastos de composición andesítica (INIGEMM r, 2017). 					
Migmatita 	Sabanilla	T1s	"Está conformada por migmatitas, orto y paragneises de medio a alto grado de metamorfismo que contienen sillimanita-biotita-cuarzo-albita, cianita-biotita-ortoclasa-cuarzo (Litherland, et al., 1994; Spikings, et al., 2014). "			"Estudios geoquímicos realizados en los ortogneises indican relación con los granitos tipo S de Tres Lagunas. Los ortogneises están asociadas con rocas metamórficas de medio a alto grado metamórfico (paragneises) de protolito sedimentario (sedimentos pelíticos), evidencia que la anatexia de los sedimentos de la unidad Chigüinda originaron las unidades Tres Lagunas y Sabanilla, siendo esta última la fase migmatítica de este evento (Litherland, et al., 1994; Spikings, et al., 2014). "		
Formación 	Sacairo	EScr	La Formación Sacairo (antigua Formación Sacapalca) está conformada por litofacies volcanoclástica consta de tobas de composición dacítica - riolítica y localmente afectada por diques de andesíticos, textura porfirítica, y vetillas de cuarzo rellenado las fracturas. Además, se encuentran volcanosedimentos finos de igual composición acida (IIGE, 2026).			Se la considera como una facies volcano-sedimentaria relacionada al mismo volcanismo que generó las Formaciones Changaimina (IIGE, 2026).		
Formación 	Salapa	PLPlSl	"Está conformada por tobas de líticos y vidrio volcánico. Las tobas están alteradas, siendo posible en algunos sitios observar que la toba está convertida en caolinita (Hungerbühler D., 1997; Hungerbühler, et al., 2002)."			Para Bristow y Hoffstetter (1977) La Formación Salapa de la cuenca de Loja y la Formación Loma Blanca de la cuenca de Malacatos son equivalentes. 		
Formación 	San Cayetano	MSc	"Litológicamente constituida por intercalaciones de areniscas, conglomerados, limolitas y lutitas con vetillas de carbón; y delgadas capas de piroclastos; las capas sedimentarias contienen macroflora y fauna (Hungerbühler et al., 2002)."					
Formación 	San Francisco	MSfr	Litológicamente contiene limolitas y areniscas gris azuladas, bien clasificadas, con intercalaciones canaliformes de areniscas de color marrón con estratificación cruzada en surco y, conglomerados con clastos metamórficos (INIGEMM d, 2017). 			Se interpreta como depositada en un ambiente estuarino dominado por acción fluvial, con cierta influencia mareal y de oleaje (INIGEMM d, 2017).		
Formación 	San José	MSjo	"Está conformada por areniscas mayoritariamente calcáreas y en menor medida limolitas; además se reportan brechas bioclásticas, conglomerados con clastos volcánicos metamórficos, lutitas bioturbadas  (Hungerbühler D., 1997; INIGEMM d, 2017). "			"Con base en datos observados se estima que se depositó en un ambiente de delta dominado por olas. (Hungerbühler D., 1997; Hungerbühler, et al., 2002; INIGEMM d, 2017)."		
Formación 	San Vicente	PcSv	"litologías principales consisten de limolitas tobáceas, pasando a tobas, tobas de lapilli e ignimbritas de composición andesítica de tonalidades grises, areniscas volcánicas finas, estratificadas de coloración verde claro, violeta, amarillo o marrón; en menor proporción se encuentran aglomerados y esporádicos conglomerados mal clasificados con clastos de rocas volcánicas de composición andesítica de color gris, púrpura y verdoso. Estas rocas aparecen localmente plegadas con ejes en dirección aproximada norte-sur, lo cual evidencia un nuevo evento tectónico (INIGEMM a, 2013)."			La secuencia comprende rocas volcanosedimentarias, depositadas en una llanura de inundación (INIGEMM a, 2013).		
Formación 	Sanora	PcSa	Está formada por rocas volcánicas y volcanosedimentarias (aglomerados, brechas piroclásticas), con clastos redondeados de intrusivos de composición intermedia a ácida, líticos de rocas subvolcánicas en una matriz de cristales disgregados de plagioclasa y hornblenda (INIGEMM g, 2017). 			Se interpreta a estos volcánicos como parte del arco volcánico paleocénico Sacapalca (INIGEMM g, 2017).		
Formación 	Santa Isabel	MSa	"Está conformada por flujos de lava de composición intermedia, brechas volcánicas y en menor cantidad tobas (Hungerbühler, 1997; Hungerbühler et al., 2002). "					
Formación 	Santiago	J1S	"Secuencia marina monótona de calizas silíceas en capas delegadas de color gris oscuro a negro con areniscas de grano fino a grueso de color gris y además intercalaciones con capas de lutitas negras delgadas localmente bituminosas. Al oeste, las facies se vuelven volcánica, con abundantes intercalaciones de brechas volcánicas que pasan lateralmente a tobas arenosas verdes y grises (Litherland, et al., 1994; Spikings et al., 2019)."					
